,RdeltaB,Bpre,Bpost,itemideology,itemnum,partideology,ide_ms,ide_abs,partnum
0,0,100,100,1,0,0.0,1.0,100.0,0
1,0,81,81,1,1,0.0,1.0,100.0,0
2,15,31,46,2,2,0.0,1.0,100.0,0
3,32,12,44,2,3,0.0,1.0,100.0,0
4,8,49,57,3,4,0.0,1.0,100.0,0
5,52,5,57,3,5,0.0,1.0,100.0,0
6,33,50,83,3,6,0.0,1.0,100.0,0
7,4,50,54,3,7,0.0,1.0,100.0,0
8,14,75,89,1,0,0.0,1.0,100.0,1
9,28,72,100,1,1,0.0,1.0,100.0,1
10,65,23,88,2,2,0.0,1.0,100.0,1
11,43,50,93,2,3,0.0,1.0,100.0,1
12,31,66,97,3,4,0.0,1.0,100.0,1
13,27,50,77,3,5,0.0,1.0,100.0,1
14,20,80,100,3,6,0.0,1.0,100.0,1
15,51,24,75,3,7,0.0,1.0,100.0,1
16,18,82,100,1,0,0.0,1.0,100.0,2
17,23,77,100,1,1,0.0,1.0,100.0,2
18,100,0,100,2,2,0.0,1.0,100.0,2
19,100,0,100,2,3,0.0,1.0,100.0,2
20,79,21,100,3,4,0.0,1.0,100.0,2
21,77,23,100,3,5,0.0,1.0,100.0,2
22,66,34,100,3,6,0.0,1.0,100.0,2
23,64,36,100,3,7,0.0,1.0,100.0,2
24,0,0,0,1,0,0.0,1.0,100.0,3
25,0,0,0,1,1,0.0,1.0,100.0,3
26,0,0,0,2,2,0.0,1.0,100.0,3
27,0,0,0,2,3,0.0,1.0,100.0,3
28,-2,2,0,3,4,0.0,1.0,100.0,3
29,0,0,0,3,5,0.0,1.0,100.0,3
30,100,0,100,3,6,0.0,1.0,100.0,3
31,0,0,0,3,7,0.0,1.0,100.0,3
32,0,100,100,1,0,0.0,1.0,100.0,4
33,0,100,100,1,1,0.0,1.0,100.0,4
34,100,0,100,2,2,0.0,1.0,100.0,4
35,100,0,100,2,3,0.0,1.0,100.0,4
36,50,50,100,3,4,0.0,1.0,100.0,4
37,50,50,100,3,5,0.0,1.0,100.0,4
38,50,50,100,3,6,0.0,1.0,100.0,4
39,100,0,100,3,7,0.0,1.0,100.0,4
40,0,100,100,1,0,0.0,1.0,100.0,5
41,0,100,100,1,1,0.0,1.0,100.0,5
42,100,0,100,2,2,0.0,1.0,100.0,5
43,100,0,100,2,3,0.0,1.0,100.0,5
44,39,61,100,3,4,0.0,1.0,100.0,5
45,23,77,100,3,5,0.0,1.0,100.0,5
46,69,31,100,3,6,0.0,1.0,100.0,5
47,100,0,100,3,7,0.0,1.0,100.0,5
